"cell","b","kappa_AC","kappa_IPW","delta","se","z","var_AC","var_IPW","cov_AC_IPW","reject_05"
"null",157,0.83411385702941,0.833896967083276,0.000216889946134224,0.000329330174900105,0.658579026959837,0.000220758317031955,0.000221281835194116,0.000220965846930986,FALSE
"null",158,0.826367971649668,0.826218235442042,0.000149736207625706,0.000661342088147107,0.226412639251835,0.000249489177287544,0.000251054491413132,0.00025005314767156,FALSE
"null",159,0.835822116175454,0.835686249894678,0.000135866280775776,0.000311755027183476,0.435811034077777,0.000239539219918813,0.000239841937026988,0.000239641982874413,FALSE
"null",160,0.833485001048736,0.833959235125233,-0.000474234076496494,0.000422976260482773,-1.12118367105335,0.000233192210508637,0.000232270790474983,0.000232642046033344,FALSE
"null",161,0.852789086211964,0.851588264121111,0.00120082209085393,0.000555871039767725,2.16025301723885,0.000210801852027184,0.000214870770206263,0.000212681814810297,TRUE
"null",162,0.808170731166474,0.807788636702272,0.000382094464202121,0.000522435161425729,0.731372029323949,0.000251291383746068,0.000252174861518688,0.000251596653383431,FALSE
"null",163,0.852930627354715,0.852026578209883,0.00090404914483222,0.000493601867469972,1.83153509824842,0.00020641985481295,0.000208451667367593,0.000207313939688486,FALSE
"null",164,0.847404318920505,0.847530576771599,-0.000126257851093325,0.000361759588625916,-0.349010378889735,0.000205367174890539,0.000205040199754198,0.000205138252322387,FALSE
"null",165,0.845956111660356,0.846813078190178,-0.000856966529822589,0.000656884150538232,-1.3045930992861,0.000240319309547523,0.000238661060611484,0.000239274436685889,FALSE
"null",166,0.842962650078029,0.843030139434241,-6.7489356211814e-05,0.000274838300120015,-0.245560230078352,0.000237757761814193,0.000237879130087899,0.00023778067790544,FALSE
"null",167,0.814712131389583,0.814911318403244,-0.000199187013660507,0.000602350296091003,-0.330683017760837,0.000245430326207622,0.000245010924153978,0.0002450392122412,FALSE
"null",168,0.849077533860627,0.848758357997466,0.000319175863160659,0.000467840310081259,0.682232497463122,0.000221625893730705,0.000223027271151645,0.000222217145163306,FALSE
"null",169,0.829038436845874,0.829749583687698,-0.000711146841824162,0.000690108368945072,-1.03048575242067,0.000253851525541781,0.000254254260827632,0.000253814768404262,FALSE
"null",170,0.832173791497013,0.83227421163833,-0.000100420141317392,0.000281356937459081,-0.356913684888245,0.000249989433065176,0.000250770384086913,0.000250340327712916,FALSE
